"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"API","Permissions","","0","0","11","0","0"
"API","SpecializationsPosition","","4","0","6","2","0"
"API","Position","","8","0","14","0","0"
"API","ExpertPermission","","0","2","6","2","0"
"API","Skill","","30","4","60","5","0"
"API","Role","","1","0","24","0","0"
"API","Experts","","16","0","40","3","0"
"API","SkillAcquirement","","16","7","10","2","0"
"API","Specializations","","3","0","27","1","0"
"API","ManagementPosition","","0","0","16","0","0"
"API","User","","2","2","28","1","0"
"API","Restrictions","","0","0","5","0","0"
"API","SkillDescription","","2","0","8","0","0"
"API","DataController","","0","0","5","0","0"
"API","Audit","","2","0","12","0","0"
"API","Supervisor","","3","1","10","1","0"
"API","Location","","0","0","3","0","0"
"API","SkillGradeDescription","","1","0","0","0","0"
"API","SkillContent","","1","0","13","0","0"
"API","HistorySkillChanges","","4","0","3","0","0"
"API","UserReminder","","0","0","1","0","0"
"API","NonTerminalSkillDetails","","1","0","0","0","0"
"API","Access","","0","2","1","0","0"
"API","Subordinates","","0","0","3","0","0"
"API","SkillProgress","","0","0","2","0","0"
"API","Grades","","0","0","3","0","0"
"API","Country","","0","0","3","0","0"
"API","Current","","0","0","1","0","0"
"API","SkillSpecializationRequirements","","1","0","0","0","0"
