"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 20 13:42:56 GMT 2025","Thu Feb 20 13:42:56 GMT 2025","59","","Permissions","","api.permissions.PermissionsTests","getPermissionsUnauthorized","[API] [Permissions] 3404 - 401СК, при отсутствии авторизации GET /api/v1/permissions",""
"failed","Thu Feb 20 13:44:37 GMT 2025","Thu Feb 20 13:44:37 GMT 2025","154","","Specializations Position","","api.specialization.SpecializationPositionTests","deleteWithoutPermissionTest","[API] [Specializations & Positions] 3083 - 403 СК при отсутствии необходимых пермишенов DELETE /api/v1/positions/{positionId}/specialization/{specializationId}",""
"passed","Thu Feb 20 13:43:27 GMT 2025","Thu Feb 20 13:43:27 GMT 2025","73","","Position","","api.specialization.PositionTests","createNewPositionTitleUnauthorized","[API] [Position] 3317 - 401 СК при отсутствии авторизации POST /api/v1/positions",""
"skipped","Thu Feb 20 13:42:34 GMT 2025","Thu Feb 20 13:42:34 GMT 2025","0","","Expert Permission","","api.experts.ExpertPermissionTests","addExpertPermissionForUserNotFoundAssign","[API] [ExpertPermission] 3347 - 400 СК при несуществующем userId PATCH /api/v1/experts/assign",""
"passed","Thu Feb 20 13:43:15 GMT 2025","Thu Feb 20 13:43:15 GMT 2025","62","","Skill","","api.skill.SkillTests","getExpertsOfSkillWithoutAuthorization","[Skills] 2834 - 401СК при отсутствии авторизации GET api/v1/skills/approve/status",""
"passed","Thu Feb 20 13:42:59 GMT 2025","Thu Feb 20 13:42:59 GMT 2025","77","","Role","","api.role.RoleTests","getRoleWithPermissionsById","[Role] 2382 - Ответ от GET /api/v1/roles/{roleId} соответствует json-схеме",""
"passed","Thu Feb 20 13:42:52 GMT 2025","Thu Feb 20 13:42:52 GMT 2025","99","","Experts","","api.experts.ExpertsTests","sendExpertDecisionAfterReviewWithoutNeededReview","[Experts] 3560 - 400 СК при отсутствии заявки на аппрув от юзера POST /api/v1/expert/skills/grade/review",""
"failed","Thu Feb 20 13:44:26 GMT 2025","Thu Feb 20 13:44:26 GMT 2025","120","","Skill Acquirement","","api.skill.SkillAcquirementTests","approveTheSkillOfANonSubordinate","[API][SkillAcquirement] 3058 - 403 СК при попытке аппрувнуть навык не своего подчиненного PUT /api/v1/admin/skills/grade/review",""
"skipped","Thu Feb 20 13:42:51 GMT 2025","Thu Feb 20 13:42:51 GMT 2025","0","","Experts","","api.experts.ExpertsTests","updateExpertsToSkillNonExistSkillId","[API][Experts] 3572 - 400 СК при несуществующем {skillId} PATCH/api/v1/experts/skill",""
"passed","Thu Feb 20 13:43:36 GMT 2025","Thu Feb 20 13:43:36 GMT 2025","75","","Specializations","","api.specialization.SpecializationTests","deleteSpecializationsByIdForbidden","[API][Specialization] 3585 - 403 СК при запросе DELETE /api/v1/specializations/{specializationId}",""
"passed","Thu Feb 20 13:42:43 GMT 2025","Thu Feb 20 13:42:43 GMT 2025","101","","Experts","","api.experts.ExpertsTests","addExpertToSkillWithoutPermission","[Experts] 3568 - 403 СК при отсутствии доступа POST /api/v1/expert/skill",""
"passed","Thu Feb 20 13:42:55 GMT 2025","Thu Feb 20 13:42:55 GMT 2025","68","","Management Position","","api.managementPosition.ManagementPositionTests","deleteManagementPositionsByIdIfUserUnauthorized","[API] [ManagementPosition] 401 ошибка при отправке запроса DELETE /api/v1/management/{id}",""
